City_ID,city,max_temp,weather,lat,lon,Hotel Name
1700,miri,75.34,scattered clouds,4.4148,114.0089,
1713,high river,71.15,clear sky,50.5834,-113.8687,
1716,saint-philippe,71.19,light rain,-21.3585,55.7679,
1719,touros,77.9,clear sky,-5.1989,-35.4608,
1721,hoskote,70.0,broken clouds,13.0669,77.7983,
1729,hithadhoo,83.16,broken clouds,-0.6,73.0833,
1730,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1731,grand gaube,72.37,light rain,-20.0064,57.6608,
1734,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1737,hithadhoo,83.16,broken clouds,-0.6,73.0833,
1738,atuona,77.7,light rain,-9.8,-139.0333,
1740,bara,76.42,clear sky,10.3744,10.7288,
1743,ribeira grande,71.6,scattered clouds,38.5167,-28.7,
1745,novo aripuana,79.0,overcast clouds,-5.1206,-60.3797,
1748,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1749,arlit,85.96,clear sky,18.7369,7.3853,
1750,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1751,vaini,75.36,overcast clouds,-21.2,-175.2,
1753,georgetown,79.9,few clouds,5.4112,100.3354,
1756,mazagao,87.85,overcast clouds,-0.115,-51.2894,
1757,dickson,75.85,clear sky,36.077,-87.3878,
1758,labuhan,78.44,overcast clouds,-6.8844,112.2051,
1761,jacksonville,80.6,haze,30.3322,-81.6556,
1767,ribeira grande,71.6,scattered clouds,38.5167,-28.7,
1768,columbine,77.32,few clouds,39.5878,-105.0694,
1770,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,
1772,rikitea,73.58,overcast clouds,-23.1203,-134.9692,
1773,axim,77.16,overcast clouds,4.8699,-2.2405,
1774,hilo,83.93,few clouds,19.7297,-155.09,
1775,marion,70.92,broken clouds,39.7684,-86.1555,
1779,balabac,81.05,moderate rain,7.9868,117.0645,
1780,hasaki,73.8,clear sky,35.7333,140.8333,
1781,avarua,78.85,broken clouds,-21.2078,-159.775,
1782,kavaratti,81.46,overcast clouds,10.5669,72.642,
1785,weligama,77.25,overcast clouds,5.9667,80.4167,
1788,chapada dos guimaraes,82.06,overcast clouds,-15.4606,-55.7497,
1789,tartus,71.89,clear sky,34.889,35.8866,
1793,kapaa,78.78,light rain,22.0752,-159.319,
1794,muriae,81.18,broken clouds,-21.1306,-42.3664,
1797,umm kaddadah,88.2,overcast clouds,13.6017,26.6876,
1800,sao filipe,80.62,broken clouds,14.8961,-24.4956,
1803,rikitea,73.58,overcast clouds,-23.1203,-134.9692,
1804,hilo,83.93,few clouds,19.7297,-155.09,
1807,hamilton,70.75,overcast clouds,39.1834,-84.5333,
1809,vaini,75.36,overcast clouds,-21.2,-175.2,
1812,haveri,74.53,broken clouds,14.8,75.4,
1814,avarua,78.85,broken clouds,-21.2078,-159.775,
1816,cayenne,84.09,clear sky,4.9333,-52.3333,
1819,puerto ayora,75.16,scattered clouds,-0.7393,-90.3518,
1821,vaini,75.36,overcast clouds,-21.2,-175.2,
1823,guerrero negro,80.29,overcast clouds,27.9769,-114.0611,
1825,hilo,83.93,few clouds,19.7297,-155.09,
1827,butaritari,82.42,overcast clouds,3.0707,172.7902,
1828,rikitea,73.58,overcast clouds,-23.1203,-134.9692,
1831,lorengau,84.83,overcast clouds,-2.0226,147.2712,
1833,butaritari,82.42,overcast clouds,3.0707,172.7902,
1839,santa cruz,87.26,scattered clouds,-17.8,-63.1667,
1841,kapaa,78.78,light rain,22.0752,-159.319,
1843,altamont,82.89,clear sky,42.2068,-121.7372,
1845,kavieng,83.88,overcast clouds,-2.5744,150.7967,
